playlist_name,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,duration_ms,duration_time
Dance Hits,0.69772,0.8018933333333333,0.07500533333333333,0.07253642666666667,0.08043443213333333,0.186192,0.5056986666666666,-5.200773333333333,123.31630666666666,14100717,3:55:00
Dance Party,0.6958199999999999,0.8217300000000001,0.06781799999999999,0.074691887,0.168568471,0.196782,0.483731,-5.68567,124.74133,20074639,5:34:34
Feel Good Friday,0.6668000000000001,0.77362,0.071503,0.12371520999999999,0.013443422600000001,0.17637799999999998,0.70217,-6.2014499999999995,123.08316,22052876,6:07:32
Happy 80s,0.68254,0.76806,0.047569,0.16655027,0.014844331100000002,0.17870799999999998,0.79522,-8.08041,124.14469000000001,23859693,6:37:39
I Love My '90s Hip-Hop,0.76751,0.68389,0.255259,0.1118916,0.0089459351,0.226677,0.65589,-7.00581,101.73884,26030226,7:13:50
Main Stage,0.67116,0.83112,0.087682,0.0865018,0.0596862464,0.202612,0.420458,-5.12144,128.98606,8017903,2:13:37
Mood Booster,0.6799342105263158,0.6934473684210526,0.0697421052631579,0.1594,0.0005510036842105263,0.1683565789473684,0.5816052631578947,-5.848184210526315,118.11510526315789,14298992,3:58:18
New Music Friday,0.622061224489796,0.6348418367346939,0.1215469387755102,0.22056647142857141,0.03618925244897959,0.18224183673469388,0.47797551020408163,-6.618285714285714,126.69788775510204,18908822,5:15:08
RapCaviar,0.74812,0.63158,0.240554,0.12861534,0.0019732568,0.20625,0.39474000000000004,-6.6936599999999995,128.14874,9397660,2:36:37
Today's Top Hits,0.6875199999999999,0.67172,0.102446,0.22009414,0.0016092224,0.16196200000000002,0.546972,-5.9523,124.67964,9706079,2:41:46
just hits,0.6814895833333333,0.7314583333333333,0.064409375,0.1307140625,0.0004916035416666667,0.19699479166666667,0.5507072916666667,-5.348072916666666,121.74782291666666,17825202,4:57:05
young & free,0.67673,0.6700400000000001,0.07067899999999999,0.15406589,0.0034480271000000002,0.189007,0.6252179999999999,-5.93693,126.10608,17907252,4:58:27
